User,Tweet,Link,Date
elonmusk,@kevinnbass Indeed,https://twitter.com/elonmusk/status/1635669839217041408,2023-03-14 15:50:53+00:00
elonmusk,@MuskUniversity I hope so,https://twitter.com/elonmusk/status/1635530123922509824,2023-03-14 06:35:42+00:00
elonmusk,"Fight for truth, whole truth &amp; nothin but!",https://twitter.com/elonmusk/status/1635510381874667520,2023-03-14 05:17:16+00:00
elonmusk,@TrungTPhan 🤣,https://twitter.com/elonmusk/status/1635508786315276288,2023-03-14 05:10:55+00:00
elonmusk,@SawyerMerritt That media report is false. Relations between Tesla and BYD are positive.,https://twitter.com/elonmusk/status/1635505099912138752,2023-03-14 04:56:16+00:00
elonmusk,@_LOVELYSPAIN_ Reminds me of an Overwatch map,https://twitter.com/elonmusk/status/1635498793406971904,2023-03-14 04:31:13+00:00
elonmusk,@KanekoaTheGreat @RobertKennedyJr @jimmy_dore Accurate @CommunityNotes?,https://twitter.com/elonmusk/status/1635486191821914113,2023-03-14 03:41:08+00:00
elonmusk,@DrJimFan Exactly!!,https://twitter.com/elonmusk/status/1635441924386742272,2023-03-14 00:45:14+00:00
elonmusk,@BillyM2k Not far wrong,https://twitter.com/elonmusk/status/1635441665761767427,2023-03-14 00:44:12+00:00
elonmusk,@TheChiefNerd Synthetic mRNA does have great potential to cure cancer,https://twitter.com/elonmusk/status/1635375841508208640,2023-03-13 20:22:39+00:00
elonmusk,@JTLonsdale Yeah,https://twitter.com/elonmusk/status/1635314081946271745,2023-03-13 16:17:14+00:00
elonmusk,@cb_doge Top secret,https://twitter.com/elonmusk/status/1635128587480342528,2023-03-13 04:00:09+00:00
elonmusk,@EvaVlaar What exactly are the rule changes requested by the farmers?,https://twitter.com/elonmusk/status/1634982804089110528,2023-03-12 18:20:51+00:00
elonmusk,@MatthewDR @Twitter 🔥🤣 😢,https://twitter.com/elonmusk/status/1634769406386372609,2023-03-12 04:12:53+00:00
elonmusk,"@mundfish @BillyM2k I sure hope Tesla bots don’t malfunction! 

We’re taking great care to ensure that Optimus can easily be powered down locally with a physical switch to reduce the risk of centralized control.",https://twitter.com/elonmusk/status/1634769045818949634,2023-03-12 04:11:27+00:00
elonmusk,@EvaVlaar What rules do you want the government to change?,https://twitter.com/elonmusk/status/1634766546923929601,2023-03-12 04:01:31+00:00
elonmusk,Yay!!,https://twitter.com/elonmusk/status/1634751765311569920,2023-03-12 03:02:47+00:00
elonmusk,“These are the good old days!” – frens,https://twitter.com/elonmusk/status/1634723111642750976,2023-03-12 01:08:56+00:00
elonmusk,@KeithOlbermann I do hope to succeed in business 🤞,https://twitter.com/elonmusk/status/1634705683697356805,2023-03-11 23:59:41+00:00
elonmusk,@TitterDaily @carlquintanilla 😂 @CommunityNotes ftw again,https://twitter.com/elonmusk/status/1634702093486260225,2023-03-11 23:45:25+00:00
elonmusk,@BillyM2k 🤣,https://twitter.com/elonmusk/status/1634696526726324229,2023-03-11 23:23:17+00:00
elonmusk,@TheRabbitHole84 Guaranteed increase in anger levels,https://twitter.com/elonmusk/status/1634685025072422913,2023-03-11 22:37:35+00:00
elonmusk,@Zattestore At least the “plus size” part is accurate,https://twitter.com/elonmusk/status/1634682474092544001,2023-03-11 22:27:27+00:00
elonmusk,@Zattestore Twitter just served me a bra ad (heavy sigh),https://twitter.com/elonmusk/status/1634682062186618880,2023-03-11 22:25:49+00:00
elonmusk,@BillyM2k @DailyLoud Copy 🐈,https://twitter.com/elonmusk/status/1634681181873610752,2023-03-11 22:22:19+00:00
elonmusk,@stillgray Major problem. These are oversubscribed in America.,https://twitter.com/elonmusk/status/1634680939358875650,2023-03-11 22:21:21+00:00
elonmusk,@MuskUniversity Super big deal,https://twitter.com/elonmusk/status/1634538416615432197,2023-03-11 12:55:01+00:00
elonmusk,"@atensnut As a side note, we finally know the muffin man!",https://twitter.com/elonmusk/status/1634536138550525952,2023-03-11 12:45:58+00:00
elonmusk,@atensnut This shaman/muffin-guardian is obviously not going to overthrow the state,https://twitter.com/elonmusk/status/1634534741369147393,2023-03-11 12:40:25+00:00
elonmusk,@atensnut Let him out,https://twitter.com/elonmusk/status/1634533538090586118,2023-03-11 12:35:38+00:00
elonmusk,@Jules31415 @alx 🧐,https://twitter.com/elonmusk/status/1634526431895072773,2023-03-11 12:07:24+00:00
elonmusk,@SillE_llis @alx 🥇,https://twitter.com/elonmusk/status/1634523522474160128,2023-03-11 11:55:50+00:00
elonmusk,"@aaronsibarium While I agree that one should use the terms someone else wishes to be referred by, allowing forceful disruption of this event was nonetheless disgraceful. @stanford",https://twitter.com/elonmusk/status/1634523385286864896,2023-03-11 11:55:17+00:00
elonmusk,@aaronsibarium !,https://twitter.com/elonmusk/status/1634522180372373504,2023-03-11 11:50:30+00:00
elonmusk,The sum of a cult should be greater than the parts/prophets/profits,https://twitter.com/elonmusk/status/1634521244442689539,2023-03-11 11:46:47+00:00
elonmusk,@teslaownersSV 🤣🤣,https://twitter.com/elonmusk/status/1634515735199248387,2023-03-11 11:24:53+00:00
elonmusk,"@AutismCapital Phlebas the Phoenician, a fortnight dead,
Forgot the cry of gulls, and the deep sea swell
And the profit and loss.

A current under sea
Picked his bones in whispers. As he rose and fell
He passed the stages of his age and youth
Entering the whirlpool.",https://twitter.com/elonmusk/status/1634513217413160962,2023-03-11 11:14:53+00:00
elonmusk,@NMS_Screenshots @MatthewJshow 🤣,https://twitter.com/elonmusk/status/1634511867526668289,2023-03-11 11:09:31+00:00
elonmusk,@dogeofficialceo @ZubyMusic 🤣,https://twitter.com/elonmusk/status/1634510327533453313,2023-03-11 11:03:24+00:00
elonmusk,@pmarca [Fact-checking sounds] … True,https://twitter.com/elonmusk/status/1634509482586718209,2023-03-11 11:00:03+00:00
elonmusk,@pmarca 🤣🔥,https://twitter.com/elonmusk/status/1634509198183546880,2023-03-11 10:58:55+00:00
elonmusk,@ZubyMusic Does moving a mouse in a FPS game count?,https://twitter.com/elonmusk/status/1634508759883022337,2023-03-11 10:57:10+00:00
elonmusk,"@RepMattGaetz @Timcast I used to think Bannon was smart &amp; evil, but now I realize I was wrong about the first part",https://twitter.com/elonmusk/status/1634464469505003525,2023-03-11 08:01:11+00:00
elonmusk,@TiceRichard Much respect for Sweden 🇸🇪,https://twitter.com/elonmusk/status/1634464165489254400,2023-03-11 07:59:58+00:00
elonmusk,"@weezilla @alx Yeah, I agree he should get non-zero punishment, but four years in prison is too much for a non-violent crime",https://twitter.com/elonmusk/status/1634463615171321859,2023-03-11 07:57:47+00:00
elonmusk,"@alx The Capitol Police literally opened the Senate chamber door for him on camera!

But who are you going to believe, Instagram “fact-checkers” or your own lying eyes!?",https://twitter.com/elonmusk/status/1634453259325779968,2023-03-11 07:16:38+00:00
elonmusk,@SouthPark 🔥🔥,https://twitter.com/elonmusk/status/1634443578440048645,2023-03-11 06:38:10+00:00
elonmusk,@stillgray Does seem asymmetric,https://twitter.com/elonmusk/status/1634422581389303808,2023-03-11 05:14:44+00:00
elonmusk,Yesterday https://t.co/RP2vhWf6F3,https://twitter.com/elonmusk/status/1634420874127327233,2023-03-11 05:07:57+00:00
elonmusk,@henrygrabar This article is false,https://twitter.com/elonmusk/status/1634420021551038465,2023-03-11 05:04:33+00:00
elonmusk,@MuskUniversity ⚔️,https://twitter.com/elonmusk/status/1634408543095775232,2023-03-11 04:18:57+00:00
elonmusk,@KeithOlbermann Have you considered a career in comedy?,https://twitter.com/elonmusk/status/1634406393594761221,2023-03-11 04:10:24+00:00
elonmusk,@minliangtan I’m open to the idea,https://twitter.com/elonmusk/status/1634374859043270678,2023-03-11 02:05:06+00:00
elonmusk,@BillyM2k @minliangtan 🤣,https://twitter.com/elonmusk/status/1634374788474097664,2023-03-11 02:04:49+00:00
elonmusk,@DailyCaller 🤣🤣🤣,https://twitter.com/elonmusk/status/1634372826634539008,2023-03-11 01:57:01+00:00
elonmusk,@gaborgurbacs Comforting …,https://twitter.com/elonmusk/status/1634362787987353600,2023-03-11 01:17:08+00:00
elonmusk,@heydave7 @mrjonfinger Midjourney is very impressive,https://twitter.com/elonmusk/status/1634361720373387264,2023-03-11 01:12:53+00:00
elonmusk,@TomFitton This sounds insane! What did they review?,https://twitter.com/elonmusk/status/1634361370757181440,2023-03-11 01:11:30+00:00
elonmusk,@HXMnCK @TitterDaily 🤣,https://twitter.com/elonmusk/status/1634360735143972874,2023-03-11 01:08:58+00:00
elonmusk,"@MatthewJshow I’m not part of MAGA, but I do believe in fairness of justice. 

Chansley was falsely portrayed in the media as a violent criminal who tried to overthrow the state and who urged others to commit violence.

But here he is urging people to be peaceful and go home. And the other…",https://twitter.com/elonmusk/status/1634350493526016001,2023-03-11 00:28:17+00:00
elonmusk,@TheBabylonBee The gerontocracy is real,https://twitter.com/elonmusk/status/1634345140914630657,2023-03-11 00:07:00+00:00
elonmusk,https://t.co/tTMWOHcUom,https://twitter.com/elonmusk/status/1634343907827019776,2023-03-11 00:02:06+00:00
elonmusk,@jameslavish Wow!,https://twitter.com/elonmusk/status/1634343600367730689,2023-03-11 00:00:53+00:00
elonmusk,"Chansley got 4 years in prison for a non-violent, police-escorted tour!?

Dave Chapelle was violently assaulted on stage by a guy with a knife. That guy got a $3000 fine &amp; no prison time.",https://twitter.com/elonmusk/status/1634336094664916992,2023-03-10 23:31:04+00:00
elonmusk,Free Jacob Chansley,https://twitter.com/elonmusk/status/1634332829860646914,2023-03-10 23:18:05+00:00
elonmusk,@TheRabbitHole84 !,https://twitter.com/elonmusk/status/1634301010352148481,2023-03-10 21:11:39+00:00
elonmusk,@ShellenbergerMD Very entertaining 🤣,https://twitter.com/elonmusk/status/1634283988830531584,2023-03-10 20:04:01+00:00
elonmusk,@BillyM2k He studied the blade,https://twitter.com/elonmusk/status/1634238657338159105,2023-03-10 17:03:53+00:00
elonmusk,@JonathanTurley Wow,https://twitter.com/elonmusk/status/1634116131270295552,2023-03-10 08:57:00+00:00
elonmusk,@allgarbled 😂,https://twitter.com/elonmusk/status/1634115861975044096,2023-03-10 08:55:56+00:00
elonmusk,@Teslaconomics https://t.co/gBOq3Yp1yH,https://twitter.com/elonmusk/status/1634115413155139584,2023-03-10 08:54:09+00:00
elonmusk,@Teslaconomics Arabesque,https://twitter.com/elonmusk/status/1634111660976898050,2023-03-10 08:39:14+00:00
elonmusk,@ZubyMusic 💯,https://twitter.com/elonmusk/status/1634109695945502720,2023-03-10 08:31:26+00:00
elonmusk,@bariweiss @ShellenbergerMD @mtaibbi Hall-of-Famer,https://twitter.com/elonmusk/status/1634103672891375616,2023-03-10 08:07:30+00:00
elonmusk,@WallStreetSilv The gerontocracy is real,https://twitter.com/elonmusk/status/1634099156859121664,2023-03-10 07:49:33+00:00
elonmusk,@JowuaLife @WholeMarsBlog @DirtyTesLa Glad he’s finally seen the light 😂,https://twitter.com/elonmusk/status/1634024439573811200,2023-03-10 02:52:39+00:00
elonmusk,@DogecoinNorway @micsolana 🤣,https://twitter.com/elonmusk/status/1634015505588662272,2023-03-10 02:17:09+00:00
elonmusk,@DrJBhattacharya Absolutely,https://twitter.com/elonmusk/status/1634011474619162625,2023-03-10 02:01:08+00:00
elonmusk,@ID_AA_Carmack 💯,https://twitter.com/elonmusk/status/1633990186978758656,2023-03-10 00:36:33+00:00
elonmusk,"To be alerted about new tweets from any account, tap the bell symbol on the profile page https://t.co/GxfsWpduwV",https://twitter.com/elonmusk/status/1633985037375877120,2023-03-10 00:16:05+00:00
elonmusk,"@ggreenwald I think we should listen carefully to DWS, given that she is such an expert in ethics violations 😂 

She was forced to resign as DNC chair after being bust rigging the nomination against Bernie! @DWStweets 

https://t.co/CFkEMjSMJG",https://twitter.com/elonmusk/status/1633984026800168961,2023-03-10 00:12:04+00:00
elonmusk,@MattWallace888 @iheartmindy @SenSchumer This is unjust.,https://twitter.com/elonmusk/status/1633977810967572481,2023-03-09 23:47:22+00:00
elonmusk,@iheartmindy @SenSchumer Seriously!? This is messed up.,https://twitter.com/elonmusk/status/1633969052971401217,2023-03-09 23:12:34+00:00
elonmusk,@danprimack This is such lamé propaganda lol,https://twitter.com/elonmusk/status/1633968720748896258,2023-03-09 23:11:15+00:00
elonmusk,@anothercohen True,https://twitter.com/elonmusk/status/1633968208133644291,2023-03-09 23:09:13+00:00
elonmusk,@cb_doge Accurate. How did media go from questioning authority to doing their bidding as a collective NPC hivemind!?,https://twitter.com/elonmusk/status/1633966756107624448,2023-03-09 23:03:26+00:00
elonmusk,https://t.co/IYlRo3fd59,https://twitter.com/elonmusk/status/1633963976945008643,2023-03-09 22:52:24+00:00
elonmusk,"@CollinRugg I’m not his source, but, yeah, obviously asking journalists to reveal sources is not cool",https://twitter.com/elonmusk/status/1633949685600714752,2023-03-09 21:55:37+00:00
elonmusk,@micsolana Good thing LAT has “real” journalists,https://twitter.com/elonmusk/status/1633938395482259456,2023-03-09 21:10:45+00:00
elonmusk,@micsolana wow,https://twitter.com/elonmusk/status/1633938178858991616,2023-03-09 21:09:53+00:00
elonmusk,@alx @ShellenbergerMD @bariweiss Comedy gold!!,https://twitter.com/elonmusk/status/1633930785785872384,2023-03-09 20:40:30+00:00
elonmusk,"@BillyM2k Yeah, that’s really mind-blowing. Our sun will massively expand &amp; engulf Earth in the future, so it won’t be tiny forever.",https://twitter.com/elonmusk/status/1633930453727035394,2023-03-09 20:39:11+00:00
elonmusk,@ShellenbergerMD Great work! This is *actually* important for the health of our democracy.,https://twitter.com/elonmusk/status/1633929909658632194,2023-03-09 20:37:02+00:00
elonmusk,@JonathanTurley So bizarre!,https://twitter.com/elonmusk/status/1633929028846460931,2023-03-09 20:33:32+00:00
elonmusk,@BillyM2k Heard good things about Atomic Heart,https://twitter.com/elonmusk/status/1633927356220862465,2023-03-09 20:26:53+00:00
elonmusk,@BillyM2k Dead Space remake is good,https://twitter.com/elonmusk/status/1633927244589441024,2023-03-09 20:26:26+00:00
elonmusk,@BillyM2k !,https://twitter.com/elonmusk/status/1633926615578079232,2023-03-09 20:23:56+00:00
elonmusk,@KanekoaTheGreat GEC should be defunded.,https://twitter.com/elonmusk/status/1633882208057569281,2023-03-09 17:27:29+00:00
elonmusk,@DrJBhattacharya Stanford is damaging its name by allowing its use by the SIO propaganda machine @Stanford,https://twitter.com/elonmusk/status/1633881786617823261,2023-03-09 17:25:48+00:00
elonmusk,@greg_price11 🔥,https://twitter.com/elonmusk/status/1633881155924819968,2023-03-09 17:23:18+00:00
